invoiceID,orderHeaderID,invoice_date,due_date,total_amount
75,27133,2023-02-20,2023-04-05,3309.34
76,17160,2023-07-11,2023-08-08,6548.97
77,12207,2023-01-01,2023-01-20,3607.93
78,8227,2023-08-22,2023-09-28,754.7
79,14542,2022-11-27,2022-12-30,3353.39
80,3153,2023-11-20,2023-12-08,8218.55
81,26532,2022-01-11,2022-02-18,9681.97
82,1586,2024-03-28,2024-05-03,445.8
83,3944,2023-02-23,2023-04-02,5714.37
84,23940,2024-06-29,2024-07-24,1097.77
85,19458,2022-12-14,2022-12-30,6819.95
86,1022,2024-08-15,2024-09-11,128.53
87,11654,2023-02-16,2023-03-18,196.68
88,10806,2022-06-02,2022-06-25,7779.95
89,13418,2022-04-02,2022-05-02,790.63
90,20228,2022-11-27,2022-12-18,3086.56
91,7990,2024-08-12,2024-09-11,9582.5
92,9693,2024-08-27,2024-10-11,9853.21
93,12991,2023-07-08,2023-08-22,1655.96
94,6874,2024-07-18,2024-08-14,5630.97
95,5676,2022-07-13,2022-08-01,5613.53
96,162,2023-06-14,2023-07-25,4551.19
97,4298,2024-04-24,2024-06-08,9250.77
98,26558,2023-10-01,2023-10-30,7552.64
99,996,2023-04-23,2023-05-14,7657.04
100,29488,2023-04-25,2023-05-27,2732.22
101,11535,2022-10-15,2022-11-25,4371.48
102,29128,2023-11-29,2024-01-02,4899.87
103,7630,2023-11-26,2024-01-02,3024.17
104,28375,2023-06-24,2023-07-10,993.44
105,25852,2022-11-26,2022-12-18,1307.27
106,1017,2023-04-15,2023-05-29,1847.68
107,24254,2024-04-28,2024-05-22,2076.35
108,22824,2023-06-18,2023-07-12,2460.51
109,24277,2023-04-12,2023-05-07,2591.83
110,23248,2024-09-03,2024-10-08,4584.38
111,24301,2023-02-24,2023-04-08,5120.25
112,8530,2024-02-01,2024-03-07,3123.35
113,17263,2024-10-02,2024-10-24,9077.6
114,9269,2024-06-09,2024-07-09,5553.74
115,21272,2022-11-04,2022-12-04,7885.4
116,12186,2024-07-12,2024-08-24,9246.17
117,21244,2022-11-30,2023-01-12,1673.19
118,6332,2024-08-11,2024-09-22,4307.35
119,8572,2024-10-18,2024-11-18,4360.44
120,25069,2024-02-28,2024-03-19,3577.0
121,7209,2024-04-11,2024-05-13,138.61
122,5277,2024-04-23,2024-05-24,8168.92
123,18447,2022-09-07,2022-10-03,1160.02
124,28461,2022-07-03,2022-08-01,9955.03
125,16449,2024-03-09,2024-04-23,7740.94
126,16217,2022-07-05,2022-08-17,5821.1
127,8007,2024-12-28,2025-01-18,1588.33
128,2569,2024-04-17,2024-05-29,5178.16
129,21848,2023-09-19,2023-10-17,2648.03
130,29825,2024-05-08,2024-06-21,2560.61
131,2028,2022-01-08,2022-01-26,8303.82
132,2696,2024-02-22,2024-04-07,3837.41
133,26072,2024-02-14,2024-03-16,4534.7
134,15423,2024-10-03,2024-11-12,8437.5
135,5259,2023-11-08,2023-12-03,923.52
136,22003,2022-07-30,2022-09-09,5966.45
137,6737,2023-05-05,2023-05-25,5803.25
138,392,2023-10-01,2023-10-25,4280.88
139,13987,2022-07-10,2022-08-22,8306.26
140,29091,2023-11-02,2023-12-14,9431.76
141,12667,2024-04-22,2024-05-21,4680.09
142,5893,2022-12-01,2023-01-13,4588.66
143,3562,2023-08-02,2023-08-22,5045.53
144,26855,2022-03-03,2022-04-02,7245.08
145,6185,2023-01-22,2023-02-17,6697.2
146,19484,2022-06-02,2022-07-05,2267.21
147,22663,2023-09-11,2023-10-11,685.76
148,8393,2023-11-29,2023-12-27,9495.08
149,13068,2022-06-27,2022-07-17,2647.64
150,15266,2024-04-26,2024-06-05,6404.04
151,19489,2023-05-02,2023-05-25,8292.96
152,23600,2023-05-15,2023-06-20,3037.75
153,29175,2023-06-25,2023-07-10,6372.56
154,2455,2022-01-13,2022-02-22,1123.61
155,11838,2022-05-31,2022-07-06,9700.82
156,14040,2024-12-09,2024-12-31,628.67
157,25381,2024-09-17,2024-10-08,4409.84
158,19116,2023-10-06,2023-11-03,5391.35
159,10966,2023-01-07,2023-01-29,7915.29
160,24539,2022-09-09,2022-10-04,1255.23
161,9763,2022-02-22,2022-04-05,4436.04
162,5057,2022-07-12,2022-08-19,3032.13
163,14949,2023-08-14,2023-09-28,3154.51
164,8111,2024-12-16,2025-01-08,7798.94
165,13774,2022-04-07,2022-05-10,104.34
166,27267,2022-07-17,2022-08-07,7503.38
167,20225,2022-05-27,2022-06-16,8113.46
168,17413,2023-12-24,2024-01-25,9018.55
169,23770,2023-11-15,2023-12-04,6287.47
170,503,2024-11-01,2024-12-04,3367.88
171,6911,2022-11-29,2022-12-24,4300.99
172,12686,2023-05-27,2023-06-15,9698.87
173,25447,2022-06-21,2022-08-04,8817.81
174,23323,2023-07-18,2023-08-28,4662.08
175,20873,2023-05-27,2023-07-05,9433.48
176,207,2022-04-15,2022-05-29,8238.4
177,21519,2023-11-05,2023-12-13,9015.84
178,22362,2024-03-17,2024-04-25,6845.62
179,24106,2024-11-30,2024-12-23,8583.66
180,23420,2024-06-07,2024-07-18,8923.07
181,17869,2024-05-25,2024-07-02,965.57
182,24243,2023-11-08,2023-12-22,9653.91
183,15935,2022-11-17,2022-12-09,3369.45
184,17248,2022-12-01,2022-12-26,4427.0
185,19175,2022-09-21,2022-11-01,7929.44
186,23793,2024-05-14,2024-06-19,6665.72
187,8756,2022-12-18,2023-01-07,8935.95
188,21501,2023-11-07,2023-12-21,4035.71
189,12384,2024-07-07,2024-08-05,3764.22
190,22404,2022-01-05,2022-01-25,365.3
191,18142,2022-02-03,2022-03-15,4654.12
192,14821,2022-12-17,2023-01-22,7254.5
193,7575,2023-08-06,2023-09-18,3046.73
194,6375,2023-04-10,2023-05-24,4654.13
195,23277,2022-12-14,2023-01-08,2233.01
196,1679,2022-05-05,2022-06-17,7739.24
197,19627,2022-12-23,2023-01-21,652.09
198,21021,2023-06-11,2023-07-07,7068.56
199,1060,2023-05-13,2023-06-05,3820.45
200,23053,2022-02-22,2022-03-18,463.88
201,29856,2022-05-29,2022-07-11,8542.02
202,16199,2023-05-18,2023-06-16,4902.83
203,9915,2024-05-19,2024-06-19,6013.22
204,27891,2022-08-07,2022-09-06,7333.71
205,19542,2023-03-28,2023-05-07,6567.99
206,22300,2022-03-24,2022-04-29,7322.03
207,10818,2024-01-08,2024-01-30,7634.7
208,10922,2023-06-11,2023-07-26,5912.06
209,9790,2023-02-08,2023-03-11,3688.1
210,16313,2022-10-17,2022-12-01,2469.26
211,11253,2023-02-24,2023-03-21,9033.89
212,2694,2022-12-05,2022-12-30,9700.75
213,29468,2024-02-16,2024-03-07,3608.74
214,29724,2023-12-12,2024-01-20,1167.49
215,13932,2024-09-13,2024-10-19,2264.25
216,3628,2024-08-16,2024-09-29,6723.14
217,25940,2023-11-17,2023-12-03,1770.69
218,16158,2024-11-25,2024-12-10,7812.22
219,10174,2023-01-08,2023-02-11,9234.15
220,21835,2024-09-20,2024-10-10,9638.33
221,18048,2023-06-15,2023-07-25,142.79
222,26106,2024-07-12,2024-08-21,9583.63
223,10231,2022-01-23,2022-03-03,7414.93
224,15708,2022-04-14,2022-05-03,886.3
225,21977,2022-08-29,2022-10-05,4181.64
226,11495,2024-10-01,2024-11-06,7015.45
227,26814,2024-06-21,2024-07-27,9569.02
228,23777,2024-03-24,2024-04-16,1683.21
229,1307,2023-10-17,2023-11-05,1320.95
230,28606,2024-02-22,2024-03-25,4749.85
231,6777,2022-11-03,2022-12-11,9682.58
232,27252,2022-01-08,2022-02-22,9715.22
233,29645,2024-12-28,2025-02-07,2317.75
234,22249,2023-07-29,2023-09-11,3227.5
235,9475,2024-12-27,2025-01-29,9084.92
236,7527,2024-06-30,2024-07-29,7361.67
237,25286,2023-06-02,2023-07-16,9724.55
238,21960,2024-11-20,2024-12-19,8936.83
239,5531,2023-04-28,2023-05-21,2190.21
240,29321,2022-07-26,2022-08-23,7609.28
241,20798,2023-10-31,2023-11-19,533.22
242,3749,2023-08-02,2023-09-15,8187.44
243,13546,2023-01-22,2023-02-22,6035.49
244,29356,2023-02-16,2023-03-17,9563.2
245,664,2024-06-09,2024-07-13,9602.32
246,1999,2024-06-24,2024-08-02,555.61
247,7995,2024-08-20,2024-09-20,1647.19
248,28022,2024-08-22,2024-09-29,4867.86
249,28320,2022-05-20,2022-06-27,8800.96
250,17880,2022-10-27,2022-12-05,8153.73
251,3305,2024-11-02,2024-11-25,9645.48
252,20148,2023-10-26,2023-11-22,6199.94
253,21617,2024-04-04,2024-05-10,2602.81
254,18238,2023-02-04,2023-03-03,299.81
255,13809,2024-09-18,2024-10-07,2268.12
256,6586,2022-05-29,2022-07-10,6768.97
257,29236,2022-11-03,2022-12-15,9266.43
258,17676,2024-12-19,2025-01-16,3242.99
259,19966,2023-03-11,2023-04-24,8763.26
260,11650,2022-01-21,2022-02-11,3979.24
261,23939,2024-05-24,2024-07-02,3117.3
262,23665,2023-01-17,2023-02-05,5113.0
263,1637,2022-09-02,2022-09-28,4450.62
264,20081,2023-11-29,2023-12-16,9142.31
265,27576,2023-08-13,2023-09-05,4709.16
266,27729,2023-01-25,2023-03-11,2809.49
267,17083,2023-07-22,2023-08-15,8433.53
268,26737,2022-09-16,2022-10-29,9987.56
269,28674,2023-03-02,2023-03-17,6499.31
270,4738,2024-10-26,2024-11-23,2542.09
271,14556,2022-01-06,2022-01-21,2426.21
272,13878,2022-07-10,2022-08-03,624.18
273,855,2022-05-28,2022-07-11,819.07
274,24549,2023-02-09,2023-03-06,9154.08
275,5856,2022-09-15,2022-10-27,1010.05
276,7393,2023-12-31,2024-02-03,4869.22
277,22913,2022-03-31,2022-04-16,6996.31
278,28051,2024-04-03,2024-05-10,8511.03
279,13950,2022-01-10,2022-01-26,1754.15
280,21634,2024-04-17,2024-06-01,4405.9
281,21557,2024-09-14,2024-10-21,2552.23
282,18092,2023-09-17,2023-10-25,2595.44
283,27354,2022-01-30,2022-03-13,3073.2
284,5792,2022-05-08,2022-06-02,5891.81
285,26310,2023-02-25,2023-03-19,214.95
286,21920,2024-12-14,2024-12-31,4117.22
287,4932,2022-11-01,2022-11-24,1908.96
288,19895,2023-06-30,2023-08-09,9672.83
289,203,2022-01-22,2022-02-21,5848.16
290,11448,2023-01-26,2023-03-07,8687.55
291,20603,2023-09-09,2023-10-09,1997.12
292,12689,2022-05-29,2022-06-22,8109.66
293,25343,2022-10-26,2022-11-15,4177.09
294,4390,2022-06-21,2022-07-25,1818.06
295,2328,2022-02-16,2022-03-26,7624.39
296,8005,2023-09-18,2023-10-22,7632.01
297,19316,2022-07-26,2022-08-29,9959.08
298,7778,2023-03-29,2023-04-23,7820.33
299,198,2024-07-13,2024-08-04,1495.41
300,23510,2024-01-24,2024-02-27,3259.32
301,1931,2023-12-09,2023-12-24,4544.68
302,11775,2024-10-05,2024-10-25,1310.2
303,15088,2023-11-07,2023-12-19,7890.99
304,22672,2024-05-04,2024-05-26,5290.65
305,25185,2024-02-22,2024-04-06,9447.27
306,27849,2023-11-15,2023-12-13,5913.62
307,9340,2024-08-20,2024-09-06,5252.85
308,20667,2024-05-13,2024-05-29,760.68
309,11590,2022-06-17,2022-07-23,1535.99
310,18896,2022-03-27,2022-04-11,8502.78
311,15709,2024-04-28,2024-05-23,9907.23
312,26371,2024-12-10,2025-01-14,4181.03
313,17044,2023-03-18,2023-04-07,8110.36
314,2812,2022-09-28,2022-10-20,6294.48
315,23483,2022-12-10,2022-12-31,9592.64
316,14244,2023-05-18,2023-06-07,2419.47
317,6547,2024-10-30,2024-12-01,5471.12
318,25946,2023-05-09,2023-06-04,4117.52
319,1987,2022-09-01,2022-09-23,5440.07
320,8339,2022-09-24,2022-11-01,2725.14
321,11412,2024-06-11,2024-07-22,5002.57
322,2912,2022-07-20,2022-08-24,6266.8
323,1735,2022-08-27,2022-09-29,858.1
324,18228,2024-07-03,2024-08-14,7442.72
325,8681,2024-08-26,2024-10-06,7079.9
326,19361,2023-04-29,2023-06-06,8810.55
327,18344,2022-09-03,2022-09-22,4287.27
328,5760,2024-10-28,2024-11-30,663.61
329,23079,2022-06-01,2022-06-24,4641.54
330,2386,2022-07-30,2022-09-07,1419.21
331,11112,2023-01-02,2023-01-28,6492.1
332,4737,2024-08-01,2024-08-30,518.96
333,1803,2022-03-27,2022-05-03,3771.26
334,8156,2024-12-14,2025-01-10,874.29
335,8121,2023-03-22,2023-04-29,83.5
336,6617,2023-09-12,2023-10-09,9607.54
337,14258,2022-10-31,2022-12-05,9961.47
338,14487,2022-05-12,2022-06-16,5577.25
339,21919,2024-06-22,2024-07-11,2427.61
340,20446,2024-09-14,2024-10-29,9115.44
341,27946,2022-02-16,2022-03-04,9234.21
342,16647,2024-01-27,2024-02-29,8552.36
343,14076,2023-11-21,2023-12-13,5466.48
344,22672,2024-11-13,2024-12-11,793.29
345,25200,2023-11-18,2023-12-31,929.97
346,9209,2024-02-25,2024-04-10,8971.37
347,16372,2022-12-06,2022-12-26,8764.48
348,11836,2023-02-16,2023-03-27,4372.25
349,13169,2022-10-13,2022-11-03,3315.14
350,2050,2024-04-29,2024-05-27,6459.03
351,5424,2023-03-06,2023-04-20,8079.53
352,14590,2022-01-31,2022-02-20,7330.27
353,28300,2023-08-26,2023-09-25,6175.25
354,20933,2023-03-16,2023-04-30,2353.53
355,19493,2024-09-11,2024-10-22,2661.92
356,29856,2023-02-16,2023-04-01,7254.47
357,28667,2023-06-12,2023-06-30,8036.07
358,7159,2022-11-06,2022-11-27,1205.55
359,10249,2024-08-06,2024-09-05,1913.61
360,7401,2023-11-05,2023-11-23,6820.68
361,19555,2023-03-13,2023-04-03,3920.42
362,9875,2023-12-05,2024-01-09,5654.76
363,15152,2023-10-25,2023-11-10,6167.41
364,18640,2022-12-31,2023-02-06,7773.22
365,1155,2024-07-11,2024-08-02,8066.88
366,4500,2022-04-23,2022-05-17,2836.96
367,6296,2022-06-25,2022-08-05,5435.9
368,22582,2024-07-24,2024-08-09,1279.06
369,27768,2023-01-17,2023-02-06,8428.05
370,26273,2022-11-02,2022-11-20,8462.21
371,12184,2023-08-25,2023-09-29,3030.08
372,29300,2022-12-09,2022-12-24,1648.17
373,12875,2022-06-05,2022-06-25,747.41
374,18033,2023-12-13,2024-01-24,5771.02
375,5540,2024-12-14,2025-01-09,959.71
376,9638,2023-02-07,2023-03-20,6821.92
377,20584,2023-09-06,2023-10-04,6797.36
378,28500,2024-03-07,2024-04-05,6159.17
379,24830,2023-09-15,2023-10-23,8771.78
380,15587,2023-08-26,2023-09-27,3813.89
381,27760,2022-06-26,2022-07-27,9027.58
382,2558,2023-03-25,2023-04-17,417.41
383,5593,2024-01-13,2024-02-11,1171.93
384,16483,2022-10-28,2022-11-29,4151.45
385,2201,2023-12-08,2024-01-15,5960.23
386,14173,2022-11-03,2022-12-18,372.14
387,2962,2024-01-21,2024-02-25,5695.97
388,14208,2024-05-18,2024-06-19,3108.61
389,21358,2022-08-02,2022-08-21,8877.11
390,20818,2023-04-28,2023-05-28,5356.18
391,11970,2024-12-26,2025-01-18,5899.54
392,2870,2022-05-13,2022-06-18,9458.94
393,27811,2023-05-27,2023-06-13,7653.5
394,28368,2022-07-30,2022-08-25,4410.82
395,17341,2024-09-14,2024-10-22,4794.95
396,13993,2024-09-13,2024-10-11,6496.84
397,28644,2023-12-18,2024-01-02,2041.98
398,24737,2022-09-10,2022-10-03,932.08
399,5700,2022-02-07,2022-03-02,3146.8
400,23329,2024-12-02,2025-01-05,7794.91
401,20878,2023-09-21,2023-10-18,2610.37
402,25877,2024-09-13,2024-10-05,1351.05
403,21296,2022-02-15,2022-03-12,2229.27
404,3988,2022-11-01,2022-12-15,6805.78
405,26104,2022-08-21,2022-09-18,6158.78
406,22400,2022-09-02,2022-10-02,6898.73
407,13447,2024-01-30,2024-02-24,3253.48
408,1219,2024-04-18,2024-05-21,9013.52
409,20881,2022-06-07,2022-07-20,4545.12
410,4736,2024-10-21,2024-11-26,5161.44
411,11297,2022-08-05,2022-08-29,9490.64
412,27312,2024-07-16,2024-08-25,9793.81
413,4556,2023-05-22,2023-06-13,6632.35
414,9147,2024-01-31,2024-02-25,9450.89
415,8051,2024-06-22,2024-07-31,5438.0
416,12758,2023-08-04,2023-08-26,3107.47
417,19831,2024-11-19,2024-12-28,3185.17
418,17430,2023-09-19,2023-10-23,5611.46
419,6894,2023-06-04,2023-06-28,6070.11
420,18078,2022-10-02,2022-11-02,4424.19
421,14374,2023-05-07,2023-06-13,8843.53
422,14566,2024-04-06,2024-05-01,4295.63
423,3437,2024-08-08,2024-09-03,2770.57
424,8755,2024-07-14,2024-08-07,129.42
425,10678,2024-04-26,2024-05-30,9707.16
426,5896,2024-11-25,2024-12-26,8251.92
427,19739,2024-12-03,2024-12-20,6174.82
428,16610,2022-02-08,2022-03-01,8313.9
429,15637,2022-08-27,2022-10-07,8112.38
430,21278,2024-11-02,2024-11-19,9321.92
431,7023,2022-05-02,2022-06-02,3891.37
432,9152,2022-05-24,2022-06-30,5570.78
433,5601,2023-11-15,2023-12-07,1031.35
434,29125,2023-03-31,2023-05-15,9654.89
435,27644,2023-01-03,2023-02-07,9852.01
436,7997,2024-01-29,2024-03-05,7901.39
437,9008,2022-09-04,2022-10-18,4568.5
438,12947,2024-07-11,2024-08-13,4990.84
439,24068,2024-12-04,2025-01-01,4381.9
440,4643,2024-02-04,2024-02-23,2968.44
441,29888,2023-01-10,2023-02-12,5301.52
442,11313,2022-07-26,2022-08-22,581.78
443,7680,2023-06-03,2023-07-05,9919.28
444,8209,2022-08-30,2022-10-13,4269.3
445,23724,2024-03-29,2024-05-05,9277.3
446,25820,2022-10-29,2022-12-08,7256.5
447,18590,2023-12-02,2023-12-27,2934.93
448,10717,2022-10-15,2022-11-21,2259.42
449,17454,2022-06-03,2022-06-29,9956.97
450,3445,2023-02-27,2023-03-21,7732.66
451,10758,2024-04-29,2024-05-25,2534.13
452,14435,2022-02-19,2022-03-06,721.08
453,1061,2023-07-18,2023-08-19,6984.32
454,18712,2024-05-03,2024-05-19,3065.01
455,3421,2024-06-01,2024-06-27,2252.24
456,302,2023-10-24,2023-11-26,7362.63
457,12469,2023-07-19,2023-08-25,6808.65
458,16991,2022-08-01,2022-08-22,4840.06
459,19555,2024-12-25,2025-01-15,9429.43
460,700,2024-03-21,2024-04-05,6812.4
461,21473,2024-04-29,2024-05-31,8939.52
462,25716,2024-05-30,2024-06-21,1946.0
463,191,2024-12-24,2025-02-01,3001.63
464,10493,2022-11-30,2022-12-24,1089.98
465,17365,2022-02-01,2022-03-16,3080.57
466,2976,2024-05-17,2024-06-23,9719.19
467,6103,2024-06-16,2024-07-29,9630.42
468,17569,2023-08-24,2023-09-08,7615.84
469,19712,2024-09-14,2024-10-13,5234.43
470,19779,2023-08-22,2023-09-20,7818.76
471,24704,2023-06-04,2023-07-16,5557.2
472,26642,2024-05-18,2024-06-05,84.91
473,1817,2022-01-16,2022-02-09,5040.39
474,22239,2022-10-10,2022-11-01,6009.29
475,23094,2022-12-27,2023-01-24,2694.2
476,570,2024-11-24,2024-12-21,2072.77
477,5443,2022-04-23,2022-05-28,2774.4
478,1896,2022-11-04,2022-12-05,6255.1
479,19118,2024-08-16,2024-09-06,1503.34
480,3864,2024-12-12,2025-01-01,7217.27
481,12914,2024-04-13,2024-05-06,4255.61
482,7456,2022-08-30,2022-10-03,3565.81
483,4015,2022-01-31,2022-03-06,8081.95
484,11094,2023-12-05,2023-12-27,5085.33
485,18071,2024-05-18,2024-06-15,3815.09
486,3010,2022-08-21,2022-10-04,8787.64
487,24191,2024-11-23,2024-12-27,3714.1
488,16539,2024-08-08,2024-08-25,8597.05
489,10730,2022-02-28,2022-04-06,5066.78
490,1410,2024-02-10,2024-03-08,2119.67
491,12250,2023-12-19,2024-01-23,6147.54
492,785,2022-10-29,2022-11-21,2888.97
493,27752,2024-03-13,2024-04-17,1514.19
494,8097,2024-06-15,2024-07-08,910.97
495,7561,2022-04-22,2022-05-28,2454.89
496,12534,2022-11-13,2022-12-19,7378.72
497,7344,2023-10-30,2023-11-24,8388.09
498,7207,2023-11-21,2024-01-05,8624.12
499,21981,2022-01-18,2022-02-07,2737.98
500,5802,2024-02-17,2024-03-25,6626.68
501,19191,2022-12-26,2023-01-21,2342.02
502,16922,2022-11-28,2023-01-08,6246.48
503,5987,2023-06-12,2023-06-30,8877.75
504,18226,2022-01-12,2022-01-30,456.89
505,29593,2022-07-31,2022-09-08,9853.0
506,10648,2023-10-03,2023-11-17,8279.52
507,8717,2022-10-10,2022-11-21,7628.54
508,23356,2024-02-19,2024-03-27,6929.06
509,22010,2024-11-19,2024-12-30,7714.23
510,19335,2024-10-29,2024-12-08,9946.22
511,24377,2023-11-08,2023-12-14,7713.4
512,12324,2023-12-06,2024-01-06,3548.43
513,4781,2023-03-02,2023-03-23,6158.52
514,28692,2023-08-14,2023-09-03,3402.38
515,2369,2022-04-01,2022-05-13,9702.15
516,12040,2023-04-01,2023-05-05,9006.39
517,6656,2023-03-20,2023-05-02,5697.82
518,8174,2022-03-20,2022-04-11,7823.67
519,4496,2024-07-15,2024-08-05,9101.39
520,10894,2022-04-13,2022-05-05,2473.82
521,25548,2023-09-15,2023-10-08,5815.84
522,22387,2024-09-16,2024-10-01,4843.08
523,22999,2022-08-22,2022-09-08,7727.33
524,25743,2023-10-06,2023-11-07,3821.87
525,13404,2024-02-29,2024-04-02,7104.35
526,13122,2023-01-22,2023-03-04,4059.78
527,22304,2024-04-26,2024-05-21,1155.19
528,10967,2022-02-07,2022-03-09,1115.86
529,26559,2022-08-29,2022-09-30,1234.61
530,854,2024-11-15,2024-12-26,373.57
531,20531,2023-07-16,2023-08-05,5353.08
532,28313,2024-03-16,2024-04-24,6735.43
533,20154,2022-10-25,2022-11-10,1310.95
534,16959,2024-03-15,2024-04-02,6137.99
535,27838,2022-06-03,2022-06-22,5997.51
536,17533,2024-01-02,2024-02-06,1513.59
537,22678,2023-04-13,2023-05-28,4070.62
538,22842,2022-02-18,2022-03-18,7563.6
539,23894,2022-02-15,2022-03-02,216.72
540,9908,2024-02-19,2024-04-02,1512.13
541,4778,2022-03-23,2022-04-28,9958.49
542,29510,2024-12-03,2024-12-31,7348.77
543,20239,2024-08-12,2024-09-16,4668.1
544,29750,2022-09-30,2022-10-27,6316.52
545,15339,2023-01-29,2023-03-06,8469.9
546,2492,2024-02-29,2024-03-30,8430.93
547,27237,2023-08-18,2023-10-01,3280.78
548,15329,2022-02-27,2022-03-17,4938.35
549,14600,2023-07-19,2023-08-31,6398.65
550,19509,2022-01-01,2022-02-11,765.37
551,22076,2022-08-04,2022-08-24,9460.68
552,3052,2024-02-05,2024-02-28,4355.78
553,15980,2023-11-02,2023-11-17,3740.08
554,16389,2023-05-26,2023-07-10,9075.65
555,21607,2024-07-03,2024-08-08,1226.95
556,21700,2022-04-05,2022-05-06,440.64
557,21254,2023-05-08,2023-06-19,6865.77
558,877,2024-02-04,2024-03-12,3880.78
559,25568,2024-10-18,2024-11-05,7656.53
560,23412,2022-05-30,2022-06-19,732.02
561,4143,2024-11-12,2024-12-12,3868.38
562,15203,2024-01-26,2024-02-16,2391.49
563,6967,2023-02-03,2023-03-18,7409.09
564,7080,2023-02-14,2023-03-27,2310.34
565,7988,2022-05-11,2022-05-30,4606.56
566,6800,2024-05-04,2024-05-27,8197.83
567,28941,2022-05-28,2022-07-05,9158.14
568,4466,2023-01-16,2023-03-02,7239.93
569,17020,2023-07-06,2023-08-08,4320.82
570,13418,2022-10-22,2022-11-06,5741.26
571,18078,2023-04-01,2023-05-12,6912.41
572,26259,2022-06-18,2022-08-01,8755.58
573,21137,2023-12-11,2024-01-20,8891.31
574,8312,2022-02-06,2022-02-28,9313.15
575,17215,2022-08-19,2022-09-22,8116.58
576,14099,2022-09-11,2022-10-18,1510.64
577,28252,2022-11-25,2022-12-13,7489.01
578,5178,2024-09-06,2024-10-13,8155.19
579,14263,2022-01-10,2022-02-23,8784.82
580,25946,2023-03-22,2023-04-22,9251.93
581,25317,2024-07-10,2024-07-25,5116.14
582,8309,2024-04-15,2024-05-01,6568.17
583,5950,2022-03-19,2022-04-23,145.05
